"학교명","학교급구분","위도","경도"
"중앙대학교사범대학부속초등학교","초등학교","37.50545264","126.9596777"
"운현초등학교","초등학교","37.57663053","126.9881575"
"서울고현초등학교","초등학교","37.55380091","127.1660305"
"서울천왕초등학교","초등학교","37.48145598","126.8370629"
"서울연가초등학교","초등학교","37.5795632","126.9173292"
"서울신화초등학교","초등학교","37.63319504","127.0408842"
"압구정고등학교","고등학교","37.53113395","127.0327116"
"구암중학교","중학교","37.49277532","126.948602"
"원묵중학교","중학교","37.61777209","127.0843728"
"서울봉은초등학교","초등학교","37.52008269","127.0609329"
"보성고등학교","고등학교","37.52008989","127.1357293"
"홍익대학교사범대학부속중학교","중학교","37.59366662","127.002805"
"은석초등학교","초등학교","37.57855999","127.0757616"
"중산고등학교","고등학교","37.48574293","127.0814285"
"청담고등학교","고등학교","37.52800302","127.0437002"
"휘봉고등학교","고등학교","37.58647725","127.068852"
"서울난우초등학교","초등학교","37.47711829","126.9176525"
"서울수송초등학교","초등학교","37.63732397","127.0332067"
"번동중학교","중학교","37.63244533","127.0362077"
"서울망우초등학교","초등학교","37.59873698","127.1038418"
"서울외국어고등학교","고등학교","37.64578079","127.0515087"
"서울방학초등학교","초등학교","37.66393373","127.032748"
"대신고등학교","고등학교","37.57312377","126.9612545"
"서울개롱초등학교","초등학교","37.49736261","127.1398881"
"영신간호비즈니스고등학교","고등학교","37.65245208","127.083205"
"서울서이초등학교","초등학교","37.49156467","127.025618"
"서울새솔초등학교","초등학교","37.61798909","127.1113284"
"서일중학교","중학교","37.49852986","127.0232207"
"서라벌고등학교","고등학교","37.64525653","127.0758406"
"서울용강초등학교","초등학교","37.54910215","126.9440443"
"서울포이초등학교","초등학교","37.47591562","127.0525106"
"강신중학교","중학교","37.51513716","126.8381601"
"리라아트고등학교","고등학교","37.55711546","126.988252"
"영신여자고등학교","고등학교","37.65245208","127.0832893"
"서울서래초등학교","초등학교","37.496404","126.9901565"
"서울신현초등학교","초등학교","37.60581459","127.0935852"
"세명컴퓨터고등학교","고등학교","37.6277708","126.9232499"
"선일여자중학교","중학교","37.62030421","126.9119931"
"동양고등학교","고등학교","37.56901968","126.8470811"
"서울양천초등학교","초등학교","37.57018817","126.8395397"
"대광중학교","중학교","37.57795467","127.0253235"
"잠실고등학교","고등학교","37.52293043","127.106515"
"서울공항초등학교","초등학교","37.56302167","126.8216459"
"서울노원초등학교","초등학교","37.67359347","127.0584544"
"유한공업고등학교","고등학교","37.48791416","126.8232907"
"서울신남초등학교","초등학교","37.51652866","126.8447962"
"리라초등학교","초등학교","37.5578197","126.9879121"
"신목고등학교","고등학교","37.51290943","126.8736069"
"충암중학교","중학교","37.58464029","126.9218095"
"성재중학교","중학교","37.56944938","126.8452953"
"서울목운초등학교","초등학교","37.52700952","126.8730442"
"하나고등학교","고등학교","37.64163759","126.9369302"
"목동고등학교","고등학교","37.50921598","126.860143"
"서울정수초등학교","초등학교","37.60377489","127.0077189"
"한양공업고등학교","고등학교","37.5658716","127.0114433"
"서울탑산초등학교","초등학교","37.56701719","126.8523683"
"서울화일초등학교","초등학교","37.54072601","126.8474076"
"문정고등학교","고등학교","37.4851785","127.1266921"
"삼각산중학교","중학교","37.61614897","127.0145684"
"서울문교초등학교","초등학교","37.46672027","126.9088159"
"연북중학교","중학교","37.57758095","126.9384801"
